name,description,difficulty,prep_time,cooking_time,recipe_type,Nasional_Cuisine,portions,Image_id,Ingredients_name
Miso-Butter Roast Chicken With Acorn Squash Panzanella,,2,30,30,cooking,Japanese,4,1001,chicken
Crispy Salt and Pepper Potatoes,,3,45,45,cooking,American,5,1002,potatoes
Thanksgiving Mac and Cheese,,5,20,50,cooking,American,3,1003,elbow macaroni
Italian Sausage and Bread Stuffing,,4,55,30,cooking,Italian,6,1004,Italian sausage
Newton's Law,,3,35,20,cooking,Spanish,5,1005,apple butter
Warm Comfort,,1,40,35,cooking,French,2,1006,lemon juice
Apples and Oranges,,2,20,45,pastry,Russian,3,1007,apples
Turmeric Hot Toddy,,3,15,25,pastry,Korean,4,1008,turmeric
Instant Pot Lamb Haleem,,1,50,50,cooking,Korean,5,1009,lamb stew meat
Spiced Lentil and Caramelized Onion Baked Eggs,,4,30,10,cooking,Indian,6,1010,eggs
Hot Pimento Cheese Dip,,1,35,20,cooking,Italian,5,1011,cheddar
Spiral Ham in the Slow Cooker,,5,45,30,cooking,Albanian,6,1012,ham
Butternut Squash and Apple Soup,,1,50,25,cooking,American,4,1013,butternut squash
Caesar Salad Roast Chicken,,5,20,20,cooking,Italian,3,1014,chicken
Chicken and Rice With Leeks and Salsa Verde,,3,30,50,cooking,Greek,5,1015,chicken
Gorditas con Camarones,,2,25,45,cooking,Vietnamese,4,1016,shrimp
Enfrijoladas,,4,45,55,cooking,Mexican,6,1017,black beans
Caramelized Plantain Parfait,,1,30,30,pastry,Russian,3,1018,mangoes
Chicken and Potato Gratin With Brown Butter Cream,,2,15,35,cooking,American,4,1019,chicken
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,,3,35,20,cooking,Ukranian,5,1020,beets
Kale and Pumpkin Falafels With Pickled Carrot Slaw,,4,25,45,cooking,Ukranian,6,1021,kale
Maple and Chile Roasted Squash With Quinoa Tabouli,,5,50,50,cooking,Canadian,4,1022,quinoa
Chhena Poda (Spiced Cheesecake),,3,35,55,pastry,Mexican,5,1023,whole milk
Paneer,,4,45,35,pastry,Italian,3,1024,lemon juice
Sloppy Joe Shirred Eggs With Spinach,,5,50,20,cooking,Greek,4,1025,eggs
R-Rated Onions,,2,55,25,cooking,Spanish,5,1026,white onions
Miso-Squash Ramen,,5,45,15,cooking,Japanese,4,1027,ramen noodles
Spicy Coconut Pumpkin Soup,,4,25,30,cooking,Korean,4,1028,pumpkin
Baigan Chokha,,3,15,25,cooking,Ukranian,5,1029,eggplants
Dad’s Curried Chicken,,1,20,40,cooking,Indian,3,1030,chicken
Trinidad Curry Powder,,2,50,45,cooking,Indian,4,1031,curry
Shrimp Creole,,1,45,55,pastry,Albanian,5,1032,shrimp
Green Seasoning,,2,30,30,pastry,Ukranian,6,1033,thyme
Chicken Pelau,,4,20,25,pastry,German,5,1034,chicken
Our Favorite Creamy Mashed Potatoes,,3,25,45,cooking,German,4,1035,potatoes
Remember the Alimony,,5,45,35,pastry,Greek,3,1035,Orange twist
Creole Cream Cheesecake With Caramel-Apple Topping,,2,40,20,pastry,American,4,1037,cream cheese
Creole Cream Cheese,,5,50,25,pastry,French,5,1038,milk
Buss Up Shut (Paratha Roti),,2,35,25,pastry,Italian,6,1039,all-purpose flour
Best Deviled Eggs,,5,45,40,pastry,Armenian,4,1040,eggs
Mango Curry,,3,30,60,pastry,Indian,5,1041,mangoes
Iced Café de Olla,,4,35,45,pastry,French,6,1042,cold-brew coffee
Pumpkin Dutch Baby With Pumpkin Butter,,4,25,45,pastry,Ukranian,3,1043,pumpkin
Braised Chicken Legs With Grapes and Fennel,,3,20,25,pastry,Korean,4,1044,chicken
Old-Fashioned Scalloped Potatoes,,1,15,20,pastry,Italian,5,1045,potatoes
Yogurt and Spice Roasted Salmon,,5,35,25,pastry,Canadian,4,1046,greek yogurt
Pita,,2,45,35,pastry,Greek,3,1047,bread flour
Veselka's Famous Borscht,,3,60,45,pastry,Albanian,5,1048,pork butt
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,,5,55,20,pastry,Korean,4,1049,papaya
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),,2,45,30,pastry,Mexican,3,1050,rum
Summer Bean Soup With Tomato Brown Butter,,3,40,40,pastry,Japanese,5,1051,green beans
Tomato Brown Butter,,4,35,20,pastry,Italian,6,1052,tomatoes
Maple-Roasted Acorn Squash,,1,25,30,pastry,Ukranian,4,1053,squash
Coconut-Creamed Corn and Grains,,3,35,30,pastry,Japanese,5,1054,quinoa
Tomato and Roasted Garlic Pie,,2,40,25,pastry,Greek,3,1055,tomatoes
Paneer With Burst Cherry Tomato Sauce,,1,55,40,pastry,Korean,5,1056,cherry tomatoess
Sesame-Scallion Chicken Salad,,2,35,50,cooking,Spanish,6,1057,chicken
Maple Barbecue Grilled Chicken,,3,40,45,pastry,Russian,4,1058,chicken
Spiced Lamb and Dill Yogurt Pasta,,4,45,35,pastry,American,5,1059,pasta
Salt-and-Pepper Fish,,3,50,30,cooking,Armenian,3,1060,cod