Recipe_name,Equipment_name
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Roasting pan
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Knife
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Cutting board
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Mixing bowl
Crispy Salt and Pepper Potatoes,Baking sheet
Crispy Salt and Pepper Potatoes,Knife
Crispy Salt and Pepper Potatoes,Cutting board
Crispy Salt and Pepper Potatoes,Mixing bowl
Thanksgiving Mac and Cheese,Large pot
Thanksgiving Mac and Cheese,Baking dish
Thanksgiving Mac and Cheese,Whisk
Thanksgiving Mac and Cheese,Mixing bowl
Italian Sausage and Bread Stuffing,Skillet
Italian Sausage and Bread Stuffing,Baking dish
Italian Sausage and Bread Stuffing,Knife
Italian Sausage and Bread Stuffing,Cutting board
Italian Sausage and Bread Stuffing,Mixing bowl
Newton's Law,Cocktail shaker
Newton's Law,Strainer
Newton's Law,Measuring jigger
Newton's Law,Mixing glass
Warm Comfort,Mixing bowl
Warm Comfort,Whisk
Warm Comfort,Saucepan
Warm Comfort,Serving cups
Apples and Oranges,Knife
Apples and Oranges,Cutting board
Apples and Oranges,Mixing bowl
Apples and Oranges,Citrus juicer
Turmeric Hot Toddy,Saucepan
Turmeric Hot Toddy,Whisk
Turmeric Hot Toddy,Strainer
Turmeric Hot Toddy,Mug
Instant Pot Lamb Haleem,Instant Pot
Instant Pot Lamb Haleem,Knife
Instant Pot Lamb Haleem,Cutting board
Instant Pot Lamb Haleem,Mixing spoon
Spiced Lentil and Caramelized Onion Baked Eggs,Skillet
Spiced Lentil and Caramelized Onion Baked Eggs,Mixing bowl
Spiced Lentil and Caramelized Onion Baked Eggs,Knife
Spiced Lentil and Caramelized Onion Baked Eggs,Cutting board
Spiced Lentil and Caramelized Onion Baked Eggs,Baking dish
Hot Pimento Cheese Dip,Mixing bowl
Hot Pimento Cheese Dip,Whisk
Hot Pimento Cheese Dip,Baking dish
Hot Pimento Cheese Dip,Serving platter
Spiral Ham in the Slow Cooker,Slow cooker
Spiral Ham in the Slow Cooker,Knife
Spiral Ham in the Slow Cooker,Cutting board
Spiral Ham in the Slow Cooker,Basting brush
Butternut Squash and Apple Soup,Large pot
Butternut Squash and Apple Soup,Blender
Butternut Squash and Apple Soup,Knife
Butternut Squash and Apple Soup,Cutting board
Butternut Squash and Apple Soup,Wooden spoon
Caesar Salad Roast Chicken,Roasting pan
Caesar Salad Roast Chicken,Knife
Caesar Salad Roast Chicken,Cutting board
Caesar Salad Roast Chicken,Mixing bowl
Chicken and Rice With Leeks and Salsa Verde,Large pot
Chicken and Rice With Leeks and Salsa Verde,Skillet
Chicken and Rice With Leeks and Salsa Verde,Knife
Chicken and Rice With Leeks and Salsa Verde,Cutting board
Chicken and Rice With Leeks and Salsa Verde,Mixing bowl
Gorditas con Camarones,Skillet
Gorditas con Camarones,Mixing bowl
Gorditas con Camarones,Knife
Gorditas con Camarones,Cutting board
Gorditas con Camarones,Spatula
Enfrijoladas,Skillet
Enfrijoladas,Blender
Enfrijoladas,Knife
Enfrijoladas,Cutting board
Enfrijoladas,Baking dish
Caramelized Plantain Parfait,Skillet
Caramelized Plantain Parfait,Knife
Caramelized Plantain Parfait,Cutting board
Caramelized Plantain Parfait,Mixing bowl
Caramelized Plantain Parfait,Serving glasses
Chicken and Potato Gratin With Brown Butter Cream,Baking dish
Chicken and Potato Gratin With Brown Butter Cream,Saucepan
Chicken and Potato Gratin With Brown Butter Cream,Knife
Chicken and Potato Gratin With Brown Butter Cream,Cutting board
Chicken and Potato Gratin With Brown Butter Cream,Whisk
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,Baking sheet
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,Knife
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,Cutting board
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,Mixing bowl
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,Blender
Kale and Pumpkin Falafels With Pickled Carrot Slaw,Food processor
Kale and Pumpkin Falafels With Pickled Carrot Slaw,Baking sheet
Kale and Pumpkin Falafels With Pickled Carrot Slaw,Knife
Kale and Pumpkin Falafels With Pickled Carrot Slaw,Cutting board
Kale and Pumpkin Falafels With Pickled Carrot Slaw,Mixing bowl
Maple and Chile Roasted Squash With Quinoa Tabouli,Baking sheet
Maple and Chile Roasted Squash With Quinoa Tabouli,Saucepan
Maple and Chile Roasted Squash With Quinoa Tabouli,Knife
Maple and Chile Roasted Squash With Quinoa Tabouli,Cutting board
Maple and Chile Roasted Squash With Quinoa Tabouli,Mixing bowl
Chhena Poda (Spiced Cheesecake),Mixing bowl
Chhena Poda (Spiced Cheesecake),Whisk
Chhena Poda (Spiced Cheesecake),Baking dish
Chhena Poda (Spiced Cheesecake),Measuring cups
Paneer,Saucepan
Paneer,Cheesecloth
Paneer,Mixing spoon
Paneer,Strainer
Sloppy Joe Shirred Eggs With Spinach,Skillet
Sloppy Joe Shirred Eggs With Spinach,Mixing bowl
Sloppy Joe Shirred Eggs With Spinach,Knife
Sloppy Joe Shirred Eggs With Spinach,Cutting board
Sloppy Joe Shirred Eggs With Spinach,Baking dish
R-Rated Onions,Skillet
R-Rated Onions,Knife
R-Rated Onions,Cutting board
R-Rated Onions,Mixing bowl
Miso-Squash Ramen,Large pot
Miso-Squash Ramen,Skillet
Miso-Squash Ramen,Knife
Miso-Squash Ramen,Cutting board
Miso-Squash Ramen,Mixing bowl
Spicy Coconut Pumpkin Soup,Large pot
Spicy Coconut Pumpkin Soup,Blender
Spicy Coconut Pumpkin Soup,Knife
Spicy Coconut Pumpkin Soup,Cutting board
Spicy Coconut Pumpkin Soup,Wooden spoon
Baigan Chokha,Grill
Baigan Chokha,Knife
Baigan Chokha,Cutting board
Baigan Chokha,Mixing bowl
Dad’s Curried Chicken,Skillet
Dad’s Curried Chicken,Knife
Dad’s Curried Chicken,Cutting board
Dad’s Curried Chicken,Mixing bowl
Trinidad Curry Powder,Spice grinder
Trinidad Curry Powder,Mixing bowl
Trinidad Curry Powder,Measuring spoons
Shrimp Creole,Skillet
Shrimp Creole,Knife
Shrimp Creole,Cutting board
Shrimp Creole,Mixing spoon
Green Seasoning,Blender
Green Seasoning,Knife
Green Seasoning,Cutting board
Green Seasoning,Mixing bowl
Chicken Pelau,Large pot
Chicken Pelau,Knife
Chicken Pelau,Cutting board
Chicken Pelau,Wooden spoon
Our Favorite Creamy Mashed Potatoes,Large pot
Our Favorite Creamy Mashed Potatoes,Potato masher
Our Favorite Creamy Mashed Potatoes,Knife
Our Favorite Creamy Mashed Potatoes,Cutting board
Our Favorite Creamy Mashed Potatoes,Mixing bowl
Remember the Alimony,Cocktail shaker
Remember the Alimony,Strainer
Remember the Alimony,Measuring jigger
Remember the Alimony,Mixing glass
Creole Cream Cheesecake With Caramel-Apple Topping,Mixing bowl
Creole Cream Cheesecake With Caramel-Apple Topping,Whisk
Creole Cream Cheesecake With Caramel-Apple Topping,Springform pan
Creole Cream Cheesecake With Caramel-Apple Topping,Baking sheet
Creole Cream Cheesecake With Caramel-Apple Topping,Saucepan
Creole Cream Cheese,Cheesecloth
Creole Cream Cheese,Mixing bowl
Creole Cream Cheese,Measuring cups
Creole Cream Cheese,Strainer
Buss Up Shut (Paratha Roti),Rolling pin
Buss Up Shut (Paratha Roti),Skillet
Buss Up Shut (Paratha Roti),Mixing bowl
Buss Up Shut (Paratha Roti),Spatula
Best Deviled Eggs,Mixing bowl
Best Deviled Eggs,Whisk
Best Deviled Eggs,Knife
Best Deviled Eggs,Cutting board
Best Deviled Eggs,Piping bag
Mango Curry,Skillet
Mango Curry,Knife
Mango Curry,Cutting board
Mango Curry,Mixing bowl
Iced Café de Olla,Saucepan
Iced Café de Olla,Strainer
Iced Café de Olla,Mixing spoon
Iced Café de Olla,Serving glasses
Pumpkin Dutch Baby With Pumpkin Butter,Skillet
Pumpkin Dutch Baby With Pumpkin Butter,Mixing bowl
Pumpkin Dutch Baby With Pumpkin Butter,Whisk
Pumpkin Dutch Baby With Pumpkin Butter,Blender
Braised Chicken Legs With Grapes and Fennel,Oven
Braised Chicken Legs With Grapes and Fennel,Knife
Braised Chicken Legs With Grapes and Fennel,Cutting board
Braised Chicken Legs With Grapes and Fennel,Mixing bowl
Old-Fashioned Scalloped Potatoes,Baking dish
Old-Fashioned Scalloped Potatoes,Knife
Old-Fashioned Scalloped Potatoes,Cutting board
Old-Fashioned Scalloped Potatoes,Mixing bowl
Yogurt and Spice Roasted Salmon,Baking sheet
Yogurt and Spice Roasted Salmon,Knife
Yogurt and Spice Roasted Salmon,Cutting board
Yogurt and Spice Roasted Salmon,Mixing bowl
Pita,"Mixing bowl,"
Pita,Rolling pin
Pita,Baking sheet
Pita,Skillet
Veselka's Famous Borscht,Large pot
Veselka's Famous Borscht,Knife
Veselka's Famous Borscht,Cutting board
Veselka's Famous Borscht,Wooden spoon
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,Baking sheet
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,Knife
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,Cutting board
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,Mixing bowl
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),Saucepan
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),Blender
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),Knife
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),Cutting board
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),Mixing bowl
Summer Bean Soup With Tomato Brown Butter,Large pot
Summer Bean Soup With Tomato Brown Butter,Knife
Summer Bean Soup With Tomato Brown Butter,Cutting board
Summer Bean Soup With Tomato Brown Butter,Wooden spoon
Tomato Brown Butter,Saucepan
Tomato Brown Butter,Wooden spoon
Tomato Brown Butter,Knife
Tomato Brown Butter,Cutting board
Maple-Roasted Acorn Squash,Baking sheet
Maple-Roasted Acorn Squash,Knife
Maple-Roasted Acorn Squash,Cutting board
Maple-Roasted Acorn Squash,Mixing bowl
Coconut-Creamed Corn and Grains,Skillet
Coconut-Creamed Corn and Grains,Knife
Coconut-Creamed Corn and Grains,Cutting board
Coconut-Creamed Corn and Grains,Mixing bowl
Tomato and Roasted Garlic Pie,Pie dish
Tomato and Roasted Garlic Pie,Knife
Tomato and Roasted Garlic Pie,Cutting board
Tomato and Roasted Garlic Pie,Mixing bowl
Paneer With Burst Cherry Tomato Sauce,Skillet
Paneer With Burst Cherry Tomato Sauce,Knife
Paneer With Burst Cherry Tomato Sauce,Cutting board
Paneer With Burst Cherry Tomato Sauce,Mixing bowl
Sesame-Scallion Chicken Salad,Mixing bowl
Sesame-Scallion Chicken Salad,Knife
Sesame-Scallion Chicken Salad,Cutting board
Sesame-Scallion Chicken Salad,Whisk
Maple Barbecue Grilled Chicken,Grill
Maple Barbecue Grilled Chicken,Basting brush
Maple Barbecue Grilled Chicken,Knife
Maple Barbecue Grilled Chicken,Cutting board
Spiced Lamb and Dill Yogurt Pasta,Large pot
Spiced Lamb and Dill Yogurt Pasta,Skillet
Spiced Lamb and Dill Yogurt Pasta,Knife
Spiced Lamb and Dill Yogurt Pasta,Cutting board
Spiced Lamb and Dill Yogurt Pasta,Mixing bowl
Salt-and-Pepper Fish,Skillet
Salt-and-Pepper Fish,Knife
Salt-and-Pepper Fish,Cutting board
Salt-and-Pepper Fish,Mixing bowl