Recipe_name,Meals_type
Miso-Butter Roast Chicken With Acorn Squash Panzanella,snack
Crispy Salt and Pepper Potatoes,midnight snack
Thanksgiving Mac and Cheese,dinner
Italian Sausage and Bread Stuffing,dinner
Newton's Law,lunch
Warm Comfort,midnight snack
Apples and Oranges,dinner
Turmeric Hot Toddy,breakfast
Instant Pot Lamb Haleem,snack
Spiced Lentil and Caramelized Onion Baked Eggs,midnight snack
Hot Pimento Cheese Dip,midnight snack
Spiral Ham in the Slow Cooker,snack
Butternut Squash and Apple Soup,lunch
Caesar Salad Roast Chicken,breakfast
Chicken and Rice With Leeks and Salsa Verde,snack
Gorditas con Camarones,breakfast
Enfrijoladas,dinner
Caramelized Plantain Parfait,lunch
Chicken and Potato Gratin With Brown Butter Cream,dinner
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,lunch
Kale and Pumpkin Falafels With Pickled Carrot Slaw,breakfast
Maple and Chile Roasted Squash With Quinoa Tabouli,snack
Chhena Poda (Spiced Cheesecake),dinner
Paneer,midnight snack
Sloppy Joe Shirred Eggs With Spinach,breakfast
R-Rated Onions,dinner
Miso-Squash Ramen,breakfast
Spicy Coconut Pumpkin Soup,midnight snack
Baigan Chokha,lunch
Dad’s Curried Chicken,breakfast
Trinidad Curry Powder,lunch
Shrimp Creole,lunch
Green Seasoning,midnight snack
Chicken Pelau,dinner
Our Favorite Creamy Mashed Potatoes,midnight snack
Remember the Alimony,lunch
Creole Cream Cheesecake With Caramel-Apple Topping,breakfast
Creole Cream Cheese,dinner
Buss Up Shut (Paratha Roti),snack
Best Deviled Eggs,lunch
Mango Curry,lunch
Iced Café de Olla,snack
Pumpkin Dutch Baby With Pumpkin Butter,dinner
Braised Chicken Legs With Grapes and Fennel,snack
Old-Fashioned Scalloped Potatoes,dinner
Yogurt and Spice Roasted Salmon,midnight snack
Pita,breakfast
Veselka's Famous Borscht,midnight snack
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,lunch
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),breakfast
Summer Bean Soup With Tomato Brown Butter,snack
Tomato Brown Butter,snack
Maple-Roasted Acorn Squash,lunch
Coconut-Creamed Corn and Grains,breakfast
Tomato and Roasted Garlic Pie,midnight snack
Paneer With Burst Cherry Tomato Sauce,snack
Sesame-Scallion Chicken Salad,snack
Maple Barbecue Grilled Chicken,breakfast
Spiced Lamb and Dill Yogurt Pasta,dinner
Salt-and-Pepper Fish,midnight snack