Recipe_name,meal
Miso-Butter Roast Chicken With Acorn Squash Panzanella,lunch
Crispy Salt and Pepper Potatoes,dinner
Thanksgiving Mac and Cheese,midnight snack
Italian Sausage and Bread Stuffing,lunch
Newton's Law,brunch
Warm Comfort,lunch
Apples and Oranges,breakfast
Turmeric Hot Toddy,breakfast
Instant Pot Lamb Haleem,dinner
Spiced Lentil and Caramelized Onion Baked Eggs,dinner
Hot Pimento Cheese Dip,midnight snack
Spiral Ham in the Slow Cooker,lunch
Butternut Squash and Apple Soup,brunch
Caesar Salad Roast Chicken,brunch
Chicken and Rice With Leeks and Salsa Verde,dinner
Gorditas con Camarones,lunch
Enfrijoladas,midnight snack
Caramelized Plantain Parfait,brunch
Chicken and Potato Gratin With Brown Butter Cream,dinner
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,lunch
Kale and Pumpkin Falafels With Pickled Carrot Slaw,brunch
Maple and Chile Roasted Squash With Quinoa Tabouli,breakfast
Chhena Poda (Spiced Cheesecake),breakfast
Paneer,midnight snack
Sloppy Joe Shirred Eggs With Spinach,brunch
R-Rated Onions,midnight snack
Miso-Squash Ramen,lunch
Spicy Coconut Pumpkin Soup,dinner
Baigan Chokha,midnight snack
Dad’s Curried Chicken,dinner
Trinidad Curry Powder,lunch
Shrimp Creole,dinner
Green Seasoning,brunch
Chicken Pelau,midnight snack
Our Favorite Creamy Mashed Potatoes,midnight snack
Remember the Alimony,brunch
Creole Cream Cheesecake With Caramel-Apple Topping,breakfast
Creole Cream Cheese,breakfast
Buss Up Shut (Paratha Roti),midnight snack
Best Deviled Eggs,brunch
Mango Curry,lunch
Iced Café de Olla,breakfast
Pumpkin Dutch Baby With Pumpkin Butter,dinner
Braised Chicken Legs With Grapes and Fennel,lunch
Old-Fashioned Scalloped Potatoes,midnight snack
Yogurt and Spice Roasted Salmon,brunch
Pita,midnight snack
Veselka's Famous Borscht,dinner
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,midnight snack
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),brunch
Summer Bean Soup With Tomato Brown Butter,dinner
Tomato Brown Butter,lunch
Maple-Roasted Acorn Squash,brunch
Coconut-Creamed Corn and Grains,breakfast
Tomato and Roasted Garlic Pie,midnight snack
Paneer With Burst Cherry Tomato Sauce,brunch
Sesame-Scallion Chicken Salad,lunch
Maple Barbecue Grilled Chicken,dinner
Spiced Lamb and Dill Yogurt Pasta,lunch
Salt-and-Pepper Fish,lunch