Recipe_name,Thematic_Section_name
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Vegetarian
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Latin American
Crispy Salt and Pepper Potatoes,Latin American
Thanksgiving Mac and Cheese,Christmas Desserts
Italian Sausage and Bread Stuffing,Gourmet
Italian Sausage and Bread Stuffing,Comfort Food
Newton's Law,Vegetarian
Warm Comfort,Gourmet
Apples and Oranges,Asian Fusion
Turmeric Hot Toddy,Seasonal
Instant Pot Lamb Haleem,Healthy Vegan
Instant Pot Lamb Haleem,Asian Fusion
Spiced Lentil and Caramelized Onion Baked Eggs,International Cuisine
Hot Pimento Cheese Dip,Christmas Desserts
Spiral Ham in the Slow Cooker,Comfort Food
Butternut Squash and Apple Soup,Gourmet
Caesar Salad Roast Chicken,Vegetarian
Chicken and Rice With Leeks and Salsa Verde,Latin American
Gorditas con Camarones,Ramadan
Enfrijoladas,Beverages
Caramelized Plantain Parfait,Latin American
Chicken and Potato Gratin With Brown Butter Cream,International Cuisine
Chicken and Potato Gratin With Brown Butter Cream,Gluten-Free
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,Beverages
Kale and Pumpkin Falafels With Pickled Carrot Slaw,International Cuisine
Maple and Chile Roasted Squash With Quinoa Tabouli,Christmas Desserts
Chhena Poda (Spiced Cheesecake),Latin American
Paneer,Asian Fusion
Sloppy Joe Shirred Eggs With Spinach,Christmas Desserts
R-Rated Onions,Baking
Miso-Squash Ramen,Low-Carb
Miso-Squash Ramen,Seasonal
Spicy Coconut Pumpkin Soup,Ramadan
Baigan Chokha,Beverages
Baigan Chokha,Christmas Desserts
Dad’s Curried Chicken,Christmas Desserts
Trinidad Curry Powder,Low-Carb
Shrimp Creole,Christmas Desserts
Green Seasoning,Healthy Vegan
Chicken Pelau,Gluten-Free
Our Favorite Creamy Mashed Potatoes,Baking
Our Favorite Creamy Mashed Potatoes,Baking
Remember the Alimony,Comfort Food
Creole Cream Cheesecake With Caramel-Apple Topping,Asian Fusion
Creole Cream Cheese,Low-Carb
Buss Up Shut (Paratha Roti),Low-Carb
Best Deviled Eggs,International Cuisine
Mango Curry,Comfort Food
Iced Café de Olla,International Cuisine
Pumpkin Dutch Baby With Pumpkin Butter,Gluten-Free
Braised Chicken Legs With Grapes and Fennel,Seafood Specialties
Old-Fashioned Scalloped Potatoes,Seasonal
Old-Fashioned Scalloped Potatoes,Ramadan
Yogurt and Spice Roasted Salmon,Asian Fusion
Pita,Ramadan
Veselka's Famous Borscht,Christmas Desserts
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,Seasonal
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),Vegetarian
Summer Bean Soup With Tomato Brown Butter,International Cuisine
Summer Bean Soup With Tomato Brown Butter,Vegetarian
Tomato Brown Butter,International Cuisine
Maple-Roasted Acorn Squash,Gourmet
Maple-Roasted Acorn Squash,Ramadan
Coconut-Creamed Corn and Grains,Christmas Desserts
Tomato and Roasted Garlic Pie,Asian Fusion
Paneer With Burst Cherry Tomato Sauce,Gluten-Free
Paneer With Burst Cherry Tomato Sauce,Seasonal
Sesame-Scallion Chicken Salad,Beverages
Maple Barbecue Grilled Chicken,International Cuisine
Spiced Lamb and Dill Yogurt Pasta,Ramadan
Salt-and-Pepper Fish,International Cuisine